County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Pop%_2010,Pop%_2011,Pop%_2012,Pop%_2013,Pop%_2014,Pop%_2015,Pop%_2016,Pop%_2017,Pop%_2018,Pop%_2019
Alameda,1512986.0,1530915.0,1553764.0,1579593.0,1607792.0,1634538.0,1650950.0,1660196.0,1666756.0,1671329.0,4.054143059036533,4.067431827346185,4.094369255417826,4.12849061364054,4.165591020974391,4.19994889260239,4.215143024185313,4.218138716018551,4.223742845827695,4.229903743962975
Alpine,1161.0,1093.0,1110.0,1128.0,1080.0,1077.0,1047.0,1111.0,1089.0,1129.0,0.0031109739888812017,0.002903951550079123,0.00292499367568935,0.0029481881802379023,0.0027981469634457334,0.0027673538072120526,0.0026731607537006105,0.002822770391867352,0.002759645658456522,0.00285734366299765
Amador,37886.0,37543.0,37104.0,36620.0,36726.0,37031.0,37429.0,38529.0,39405.0,39752.0,0.10151796773708288,0.09974661760715509,0.09777384265115102,0.09571157017758156,0.09515254201806297,0.09515123382996243,0.09556230549213005,0.0978924576311946,0.09985659979015542,0.1006068425965302
Butte,219949.0,219975.0,220869.0,221641.0,223516.0,224631.0,226231.0,228696.0,230339.0,219186.0,0.5893674572613536,0.5844434970070036,0.5820184037439919,0.5792902273547065,0.5791024228532746,0.5771898357175959,0.5776044226078728,0.5810587736620126,0.5837043354666822,0.5547296086074428
Calaveras,45468.0,45160.0,44815.0,44655.0,44671.0,44965.0,45322.0,45681.0,45698.0,45905.0,0.12183442319246382,0.11998394510665433,0.11809332574416055,0.11671218367776909,0.11573705833711516,0.11553766382663877,0.11571441421128852,0.11606388323212648,0.11580375326000565,0.1161792390167468
Colusa,21437.0,21323.0,21284.0,21250.0,21176.0,21231.0,21496.0,21579.0,21418.0,21547.0,0.05744181688169365,0.05665229542757286,0.05608609494898389,0.05553989257983638,0.054864407498080414,0.05455309998228328,0.05488277322019898,0.054826788736368676,0.05427556539285748,0.054532492388494565
Contra Costa,1052540.0,1065440.0,1077548.0,1093401.0,1108876.0,1124405.0,1137268.0,1145535.0,1150519.0,1153526.0,2.820348460169699,2.830728398459561,2.8394784551817187,2.8577587805499136,2.8729611224424545,2.8891610562658014,2.903629593161018,2.9105151042734176,2.9155415641154634,2.9194155945110962
Del Norte,28566.0,28443.0,28190.0,27816.0,27175.0,27190.0,27382.0,27351.0,27740.0,27812.0,0.07654442977293749,0.07556916188371499,0.07428429884475925,0.07270106597650487,0.07040707752929427,0.06986476324799973,0.06991068553756459,0.0694919828874563,0.07029620804920471,0.07038834539884026
El Dorado,181136.0,180936.0,180575.0,181481.0,183108.0,184569.0,185976.0,188679.0,190746.0,192843.0,0.4853655335486524,0.48072221195344567,0.4758384981870309,0.47432636448382515,0.4744102723913161,0.47425044089444884,0.47482688092667125,0.479385683858812,0.4833713230192358,0.48805910009163495
Fresno,932039.0,939406.0,945045.0,951514.0,960567.0,969488.0,976830.0,985238.0,991950.0,999101.0,2.49745829941675,2.495873293553182,2.4903158993169745,2.4869169575628436,2.4887107724409057,2.491101492893592,2.4940053667978677,2.5032409138997354,2.5137102946794743,2.528587166558561
Glenn,28127.0,28139.0,27851.0,27809.0,27831.0,27753.0,27840.0,27926.0,27967.0,28393.0,0.07536810110702978,0.07476147545075612,0.0733909899654271,0.07268277048247858,0.07210669272190576,0.0713113929540911,0.07108003379467527,0.07095291265822473,0.07087145099178473,0.07185877646013489
Humboldt,135009.0,135243.0,134572.0,134403.0,134494.0,135102.0,136290.0,136507.0,136244.0,135558.0,0.3617652775752474,0.35932215872584705,0.35461463867105153,0.3512813262309529,0.348457386760806,0.3471448784233637,0.34797046716509666,0.3468298090752805,0.34525726638269094,0.3430786468278436
Imperial,174716.0,175786.0,176575.0,176438.0,177974.0,178937.0,180179.0,181649.0,181523.0,181215.0,0.46816273164631184,0.4670393661319384,0.46529798043679904,0.4611457678588786,0.46110871080767685,0.4597790048292508,0.4600262000391808,0.4615242294440258,0.45999922760330886,0.4586302319664474
Inyo,18511.0,18392.0,18351.0,18357.0,18292.0,18108.0,17922.0,17868.0,17946.0,18039.0,0.04960141215174844,0.0488650291940121,0.04835726030862636,0.04797862626296735,0.04739231875495311,0.04652854479201101,0.0457577717553222,0.045398075033200584,0.045477135892250456,0.04565422704766573
Kern,840996.0,847970.0,853606.0,862000.0,869176.0,876031.0,880856.0,887356.0,893758.0,900202.0,2.2535027396667835,2.2529403439346694,2.249362298676111,2.252959407238539,2.251927949166582,2.25096353118457,2.248968184204112,2.254547474208682,2.2648809774203715,2.2782874048873434
Kings,152370.0,151868.0,150991.0,150337.0,149495.0,150085.0,149382.0,149665.0,151382.0,152940.0,0.4082851909438663,0.4034925105282856,0.39788082890631593,0.392927097918817,0.3873231299077037,0.385643729020818,0.3813964658159547,0.38026096372531704,0.38361862173412786,0.38707009727091285
Lake,64735.0,64251.0,63954.0,63796.0,64044.0,64260.0,63903.0,64111.0,64317.0,64386.0,0.1734615858486,0.1707061217238186,0.1685270680495826,0.16673990527168195,0.165930114932332,0.16511620766151022,0.1631547198125407,0.16288985831953898,0.1629863451009625,0.16295210725045767
Lassen,34831.0,34246.0,33629.0,32129.0,31664.0,31256.0,30721.0,30920.0,30618.0,30573.0,0.0933318992305953,0.0909869394181241,0.08861676785563707,0.08397370393870884,0.0820375235653201,0.08031235895842148,0.07843569390108544,0.07855991045593026,0.07758937628156272,0.07737605651800457
Los Angeles,9823246.0,9876482.0,9935375.0,9992484.0,10040072.0,10085416.0,10105708.0,10103711.0,10073906.0,10039107.0,26.322017909027835,26.24046222619264,26.180999135677546,26.116775904269822,26.012589795904194,25.914498017564856,25.801510997094834,25.670977730679095,25.528384716803593,25.40759855500917
Madera,150986.0,151675.0,151527.0,151370.0,153456.0,153576.0,153956.0,155423.0,156882.0,157327.0,0.40457667414747384,0.4029797359178874,0.39929325828484696,0.39562699010869795,0.3975855929838227,0.3946138609994413,0.3930746294142609,0.3948905874124208,0.39755622606976687,0.3981729906717726
Marin,252904.0,255376.0,256061.0,258409.0,260359.0,260916.0,260562.0,259749.0,259662.0,258826.0,0.6776724941292089,0.6784991134977183,0.6747538789105321,0.6753886165488441,0.6745580974590443,0.6704242209494335,0.6652570318106386,0.6599566035257901,0.6580120394546718,0.6550529946138439
Mariposa,18277.0,18170.0,17881.0,17809.0,17714.0,17622.0,17456.0,17414.0,17405.0,17203.0,0.048974394138485554,0.048275205548890816,0.04711874947297411,0.04654635044490851,0.045894791954146044,0.045279766750873536,0.044567998201144085,0.044244575701150375,0.044106182447599424,0.04353842607134507
Mendocino,87799.0,87334.0,87288.0,87054.0,87225.0,87107.0,87285.0,87576.0,87401.0,86749.0,0.23526305361738215,0.23203449650010072,0.23001517834556032,0.22752799099506238,0.22598923045051306,0.2238216231056827,0.22285275681638758,0.2225084967040281,0.22148373755257897,0.21954978336703557
Merced,256721.0,259297.0,260867.0,262026.0,264419.0,266353.0,267628.0,271096.0,274151.0,277680.0,0.6879003905250397,0.688916674364928,0.6874183109874357,0.6848421596764331,0.6850770573401457,0.6843946040968913,0.6832976754454508,0.688786464584763,0.6947287574945032,0.7027698745271811
Modoc,9694.0,9509.0,9351.0,9145.0,9068.0,9056.0,8961.0,8876.0,8800.0,8841.0,0.0259756949597023,0.025264112799361735,0.0246410953706046,0.02390175612435782,0.02349407098567214,0.02326941140029002,0.0228788858776611,0.022551674165809735,0.022300166937022404,0.022375354583314636
Mono,14257.0,14422.0,14331.0,14067.0,14134.0,14077.0,14273.0,14354.0,14403.0,14444.0,0.03820254621832842,0.038317282026753066,0.03776403996964331,0.036766102066849805,0.03661945294568703,0.03617088165656831,0.03644128313043822,0.036469888573234896,0.036498784590219734,0.03655577667700448
Monterey,416373.0,420456.0,424788.0,426712.0,428475.0,430552.0,433953.0,434534.0,433950.0,434061.0,1.115698167676514,1.1170941015005194,1.119371363521376,1.1152724067071593,1.1101259445948248,1.1063042863535413,1.1079523672881004,1.104041142627982,1.0996769820819172,1.0985486693573279
Napa,136759.0,137691.0,138538.0,139580.0,140405.0,140862.0,140840.0,139878.0,138789.0,137744.0,0.3664545148539228,0.36582616000177903,0.3650655620204064,0.3648121508844029,0.3637720596320354,0.36194521076277086,0.35958735487220056,0.35539466865312463,0.351706576025273,0.3486111120601845
Nevada,98790.0,98701.0,98137.0,97938.0,98572.0,98676.0,98913.0,99367.0,99508.0,99755.0,0.26471414329162274,0.26223506124827034,0.2586036976136268,0.2559748705639536,0.2553879097044193,0.2535481933894675,0.25254092610390494,0.2524664496207769,0.2521642058601392,0.2524661798957756
Orange,3015171.0,3049271.0,3078068.0,3104950.0,3126537.0,3149280.0,3164986.0,3174289.0,3175973.0,3175692.0,8.079344145589081,8.101496108930755,8.111107597605194,8.115227739565317,8.100472233935864,8.092081706570822,8.080722408034271,8.065066610648268,8.048264555394983,8.037239514466195
Placer,350021.0,356328.0,360263.0,365398.0,369217.0,372841.0,378943.0,385115.0,392330.0,398329.0,0.937903726582418,0.9467147739584572,0.949339636562948,0.9550195608888025,0.9565957661134661,0.9580157482216797,0.9675029183281475,0.978479945512147,0.9942073289093181,1.0081158936565022
Plumas,19914.0,19719.0,19377.0,18895.0,18622.0,18427.0,18665.0,18660.0,18741.0,18807.0,0.05336084066716646,0.05239068674840825,0.05106090311156084,0.04938476566098862,0.04824730810489486,0.047348215975391364,0.04765477122046027,0.04741034699571988,0.0474917532462201,0.047597929379979455
Riverside,2201576.0,2234070.0,2261204.0,2286755.0,2316162.0,2345816.0,2380081.0,2414964.0,2445789.0,2470546.0,5.8992641434497175,5.935618517369868,5.958565224723839,5.976758920301352,6.0008904325448125,6.0275792373435,6.076732683694845,6.135813570320025,6.197898067356032,6.252612008187948
Sacramento,1421383.0,1433730.0,1444852.0,1457341.0,1474917.0,1493674.0,1510987.0,1527301.0,1538746.0,1552058.0,3.80868694335739,3.809224570809644,3.807372038114512,3.808967651397239,3.821328263781936,3.837998542835335,3.85779479250413,3.880486086651124,3.8993514401903946,3.928045253237207
San Benito,55516.0,55977.0,56599.0,57239.0,57825.0,58216.0,59225.0,60164.0,61467.0,62808.0,0.1487586838645382,0.1487232350583523,0.1491456910363437,0.14960225465304727,0.14981745200115698,0.14958613671370183,0.15121102735235784,0.152861528223499,0.15576413194522226,0.1589584063645318
San Bernardino,2040848.0,2060827.0,2073512.0,2082738.0,2099181.0,2115411.0,2131960.0,2150945.0,2166753.0,2180085.0,5.468583155262897,5.475335554524161,5.463972510329707,5.4435315196208585,5.438719389697202,5.4355530962565055,5.443239541986202,5.465007975279137,5.490790183101602,5.517495181174696
San Diego,3103212.0,3137156.0,3174335.0,3209768.0,3248877.0,3280850.0,3306089.0,3321237.0,3333861.0,3338330.0,8.315255653733,8.334994537090596,8.364783603170588,8.389184467115117,8.417440103850634,8.430151103427729,8.440981244547563,8.438424363613276,8.448370096003233,8.448853915407392
San Francisco,805505.0,815650.0,828876.0,839572.0,850750.0,863010.0,871512.0,878040.0,880696.0,881549.0,2.1584023280910873,2.1670705231674625,2.1841955476853023,2.194340644378277,2.2041884529180167,2.2175060437902263,2.2251114372293475,2.2308778711748065,2.231780434178168,2.2310792283187912
San Joaquin,687127.0,694354.0,699593.0,702046.0,711579.0,722271.0,732809.0,743296.0,752491.0,762148.0,1.8412008820482118,1.8448036364168703,1.843518108609495,1.8348969141695908,1.8436135352793994,1.8558768817909532,1.8709801898362854,1.888527399814073,1.9068948771144234,1.9288917254794802
San Luis Obispo,269802.0,271058.0,274160.0,275696.0,278227.0,280077.0,281803.0,282481.0,283354.0,283111.0,0.7229517692920983,0.7201640432400246,0.7224470866008939,0.7205706458677915,0.7208518844431631,0.7196584514972425,0.719488748686813,0.7177128740459779,0.7180501707128462,0.7165149882860299
San Mateo,719699.0,728344.0,739224.0,748661.0,757204.0,765055.0,767906.0,768901.0,768681.0,766573.0,1.9284796458430769,1.9351104188388184,1.947950923349355,1.9567318361747237,1.9618222901008917,1.965810461445327,1.9605885212332579,1.953583237693248,1.947922116058786,1.9400907916519907
Santa Barbara,424231.0,425453.0,429699.0,434601.0,439045.0,442229.0,444340.0,445298.0,445780.0,446499.0,1.1367541828398462,1.1303704472422809,1.1323124841892234,1.1358914284747985,1.1375115125611408,1.1363083628686899,1.1344720623680318,1.131389747936767,1.129655501952937,1.1300275360361274
Santa Clara,1786040.0,1812054.0,1837853.0,1866425.0,1891753.0,1916285.0,1928368.0,1932510.0,1932337.0,1927852.0,4.78580877097449,4.814379709173902,4.842980542204233,4.8781667768621695,4.901298993091998,4.923898412677205,4.923436156917038,4.910019810969915,4.896754281657393,4.87912816244229
Santa Cruz,263147.0,264858.0,266340.0,268816.0,270861.0,273503.0,274396.0,274856.0,273841.0,273213.0,0.7051192698123356,0.7036914909888895,0.7018403743991904,0.7025887888819433,0.7017674858017359,0.7027665444140373,0.7005774767645012,0.6983396749118748,0.693943183431949,0.691464512133372
Shasta,177274.0,177588.0,177875.0,178397.0,178844.0,178314.0,178571.0,179384.0,179709.0,180080.0,0.4750170567656557,0.47182703373783275,0.46872364870562444,0.4662658925442386,0.4633627736393415,0.4581782049946239,0.4559207153286263,0.45576943652091184,0.45540235228242715,0.4557577031289786
Sierra,3220.0,3098.0,3067.0,3028.0,2972.0,2985.0,2951.0,3002.0,2997.0,3005.0,0.008628196592762679,0.00823096239903488,0.008081941984990303,0.007914107987376214,0.007700085903111778,0.007669963894640648,0.007534381455750241,0.007627323777124924,0.0075947273079836515,0.007605241547659822
Siskiyou,44938.0,44615.0,44079.0,43532.0,43338.0,43254.0,43376.0,43622.0,43550.0,43539.0,0.120414254188065,0.11853595462651423,0.11615387047811788,0.11377706370754997,0.11228341953871408,0.11114124566123504,0.11074596069963484,0.11083248427906178,0.11036048523946883,0.11019121855026988
Solano,413967.0,416342.0,419674.0,423659.0,429006.0,433409.0,438858.0,443511.0,445725.0,447643.0,1.1092511363093753,1.1061637660229113,1.1058953115777048,1.1072929576696895,1.1115017001851855,1.1136453539739728,1.1204756275525716,1.1268494322839615,1.1295161259095807,1.1329228426353029
Sonoma,484755.0,487421.0,489993.0,494073.0,498560.0,500863.0,502547.0,502469.0,498643.0,494336.0,1.2989321240138736,1.295010950129109,1.2911949784973438,1.2913299457222351,1.2917075463847267,1.2869685514778555,1.2830839706685586,1.2766468191099878,1.2636161524974616,1.251096401232601
Stanislaus,515145.0,517560.0,520424.0,523451.0,528015.0,533211.0,539255.0,544717.0,548126.0,550660.0,1.3803640788132703,1.3750861521124893,1.3713846024116705,1.3681135205086083,1.368021823059073,1.370086806775623,1.3768054462624861,1.3839883164237698,1.3890115116502662,1.3936446957185882
Sutter,94751.0,94482.0,94189.0,94507.0,94778.0,95282.0,95742.0,96204.0,96348.0,96971.0,0.25389138365243996,0.2510257551276996,0.2482002065941479,0.24700746484906336,0.24555812305690716,0.24482730311864326,0.24444484897880023,0.24443006550783686,0.2441564186418448,0.24542025894113828
Tehama,63559.0,63331.0,63212.0,62875.0,62801.0,63158.0,63453.0,63847.0,64018.0,65084.0,0.17031041839733016,0.16826180751881145,0.16657180200691457,0.16433274098622175,0.1627096550475514,0.16228461630074173,0.16200579685249747,0.1622191009986992,0.16222864624707958,0.1647186492139407
Trinity,13755.0,13685.0,13489.0,13427.0,13128.0,13094.0,12828.0,12726.0,12567.0,12285.0,0.0368574050103884,0.03635917379948106,0.035545260983219494,0.03509337118444532,0.034013030866773694,0.03364506105072853,0.032751963847632695,0.03233355176138967,0.031846158851995515,0.031091644729783995
Tulare,442969.0,446784.0,449779.0,452460.0,455138.0,457161.0,459235.0,462308.0,464589.0,466195.0,1.1869638560557427,1.1870439975759843,1.1852258832953875,1.1825684610198948,1.1792064931933002,1.174676168856889,1.1725014123454631,1.1746078616772384,1.1773195746709433,1.1798754021002564
Tuolumne,55190.0,54830.0,54221.0,53997.0,53851.0,53615.0,53770.0,53976.0,54387.0,54478.0,0.14788514594862495,0.1456758128918923,0.14287935323383086,0.14112882727686704,0.13952130752640388,0.13776385735717198,0.1372835279145003,0.13713938314260324,0.13782263400043607,0.13787632247368112
Ventura,825097.0,830099.0,833516.0,838136.0,842297.0,845802.0,847323.0,849044.0,848142.0,846006.0,2.210900349098978,2.205459540502406,2.1964225482755713,2.1905874544608817,2.182287771175418,2.1732900509262474,2.163352998383823,2.1572063587692387,2.149285021170461,2.1411247856138087
Yolo,201073.0,201954.0,204576.0,206292.0,208398.0,212037.0,215627.0,218477.0,220118.0,220500.0,0.5387880041914814,0.5365641640847933,0.5390842398178598,0.5391734362390402,0.5399335471186704,0.5448295257379964,0.5505306913449872,0.5550948757011733,0.5578031983913065,0.5580551618166358
Yuba,72348.0,72489.0,72774.0,73090.0,73533.0,74045.0,74952.0,76578.0,77557.0,78668.0,0.1938611077929175,0.19259336131169763,0.1917689096888439,0.19103109405459956,0.19051494505838437,0.19025878612350647,0.19136460822480245,0.194565356497226,0.19653795990166437,0.1990978842167397
