county_name,urban_rural
Alameda,urban
Alpine,rural
Amador,rural
Butte,suburban
Calaveras,rural
Colusa,rural
Contra Costa,urban
Del Norte,rural
El Dorado,rural
Fresno,urban
Glenn,rural
Humboldt,rural
Imperial,suburban
Inyo,rural
Kern,suburban
Kings,rural
Lake,rural
Lassen,rural
Los Angeles,urban
Madera,rural
Marin,suburban
Mariposa,rural
Mendocino,rural
Merced,suburban
Modoc,rural
Mono,rural
Monterey,suburban
Napa,suburban
Nevada,rural
Orange,urban
Placer,suburban
Plumas,rural
Riverside,urban
Sacramento,urban
San Benito,rural
San Bernardino,urban
San Diego,urban
San Francisco,urban
San Joaquin,urban
San Luis Obispo,suburban
San Mateo,urban
Santa Barbara,suburban
Santa Clara,urban
Santa Cruz,suburban
Shasta,suburban
Sierra,rural
Siskiyou,rural
Solano,suburban
Sonoma,suburban
Stanislaus,suburban
Sutter,rural
Tehama,rural
Trinity,rural
Tulare,suburban
Tuolumne,rural
Ventura,urban
Yolo,suburban
Yuba,rural
